University,State,City,Admission Rate (%),Average SAT,Student Size,In-State Tuition ($),Out-of-State Tuition ($),Median Earnings 10yr ($),Completion Rate (%),Median Debt ($),Nobel Prizes,March Madness 2026
University of Pittsburgh-Pittsburgh Campus,PA,Pittsburgh,58.1,1370,20370,21926,41430,66125,84.9,24250,0,No
Rutgers University-New Brunswick,NJ,New Brunswick,58.1,1410,37751,17929,37441,74479,84.3,21500,1,No
University of West Florida,FL,Pensacola,58.2,1138,9330,6360,19241,49137,60.3,16624,0,No
CUNY Brooklyn College,NY,Brooklyn,58.4,1140,10543,7452,15402,60752,55.2,11000,0,No
Fordham University,NY,Bronx,59.3,1418,10512,64915,64915,85569,81.1,24300,0,No
University of Akron Main Campus,OH,Akron,59.7,1081,9052,13135,20815,46600,49.8,23250,0,Yes
University of Massachusetts-Amherst,MA,Amherst,59.7,1423,23671,17772,40449,71631,83.2,22763,0,No
State University of New York at Cortland,NY,Cortland,59.8,,5901,8874,18784,60236,68.1,21500,0,No
CUNY City College,NY,New York,60.0,1260,12505,7340,15290,66039,55.8,11990,0,No
College of Charleston,SC,Charleston,60.0,1247,10558,12978,38296,56416,65.4,23250,0,No
University of South Carolina-Columbia,SC,Columbia,60.2,1297,29820,12688,35972,62177,78.3,21500,0,No
Worcester Polytechnic Institute,MA,Worcester,60.2,,5447,60965,60965,103470,89.1,27000,0,No
Fashion Institute of Technology,NY,New York,60.2,,7637,6294,16874,62696,82.0,12000,0,No
Pennsylvania State University-Main Campus,PA,University Park,60.6,1337,42284,20644,41790,63435,85.9,25000,0,No
Ohio State University-Main Campus,OH,Columbus,60.6,1387,45638,13244,40022,60409,87.7,19976,0,Yes
Colorado School of Mines,CO,Golden,60.7,1412,6155,21914,45824,97335,80.9,23000,0,No
State University of New York at New Paltz,NY,New Paltz,61.6,1265,6086,8572,18822,58073,70.3,18750,0,No
University of San Francisco,CA,San Francisco,61.7,1295,5287,60492,60492,89812,70.6,23000,0,No
American University,DC,Washington,62.0,1381,7266,58771,58771,77370,77.0,22750,0,No
The College of New Jersey,NJ,Ewing,62.3,1246,7105,19632,25752,73323,85.5,23250,0,No
University of Missouri-St Louis,MO,Saint Louis,62.7,1199,5024,14112,35112,53037,56.8,20000,0,Yes
Farmingdale State College,NY,Farmingdale,63.3,1147,9552,8626,18536,69781,54.9,14718,0,No
Southern Methodist University,TX,Dallas,63.3,1428,7277,67040,67040,78354,83.8,19500,0,Yes
Florida Gulf Coast University,FL,Fort Myers,63.4,1114,13874,6118,25162,54560,56.7,17622,0,No
The New School,NY,New York,63.5,,6563,58694,58694,52901,70.2,22266,0,No
Rensselaer Polytechnic Institute,NY,Troy,63.5,1456,5714,64081,64081,102051,83.4,23750,0,No
University of Central Missouri,MO,Warrensburg,63.8,1050,5648,10050,18600,49560,51.6,21000,0,No
University of North Carolina Wilmington,NC,Wilmington,64.2,1287,14922,7277,24152,54967,70.7,19500,0,No
CUNY Queens College,NY,Queens,64.3,1120,12550,7538,15488,62763,56.4,10298,0,No
Embry-Riddle Aeronautical University-Daytona Beach,FL,Daytona Beach,64.8,1257,7860,44249,44249,84131,67.0,23666,0,No
New Jersey Institute of Technology,NJ,Newark,65.1,1337,9019,19974,37664,84276,72.9,21000,0,No
The University of Texas at Dallas,TX,Richardson,65.1,1286,21751,14644,40144,68227,75.3,18000,0,No
University of Vermont,VT,Burlington,65.3,1374,11743,19058,45502,62472,78.6,20951,0,No
Sacred Heart University,CT,Fairfield,65.4,,7087,50404,50404,75059,74.0,25000,0,No
Chapman University,CA,Orange,65.4,1357,7478,64984,64984,70070,81.1,20500,0,No
University of Dayton,OH,Dayton,65.5,1335,7682,49140,49140,75537,80.9,23250,0,No
University of California-Santa Cruz,CA,Santa Cruz,65.8,,17940,16005,50205,68396,74.8,16666,43,Yes
Adelphi University,NY,Garden City,65.9,1219,5276,49110,49110,75482,68.0,25000,0,No
Florida Atlantic University,FL,Boca Raton,66.1,1127,23757,4879,17324,56746,63.4,17236,0,No
Elon University,NC,Elon,66.3,1208,6452,46958,46958,74545,83.5,20500,0,No
Arizona State University Digital Immersion,AZ,Scottsdale,66.7,,53782,,,62668,28.5,19500,0,No
Rochester Institute of Technology,NY,Rochester,66.9,1383,13215,59274,59274,76571,70.3,26778,0,No
Monroe University,NY,Bronx,67.5,,5701,18464,18464,41236,57.0,18818,0,No
Northern Kentucky University,KY,Highland Heights,67.7,1087,8246,11088,21912,50220,50.2,23000,0,No
Brigham Young University,UT,Provo,67.8,1376,32952,6688,6688,75790,81.6,11069,0,Yes
University of North Georgia,GA,Dahlonega,67.9,1106,16146,5285,16503,50135,37.1,17750,0,No
Hofstra University,NY,Hempstead,68.1,1319,6488,57660,57660,69039,67.8,23621,0,Yes
University of Alabama in Huntsville,AL,Huntsville,68.6,1319,6591,12132,26408,61767,63.1,20705,0,No
Middle Tennessee State University,TN,Murfreesboro,69.1,1121,16301,10266,31574,48541,53.8,20000,0,No
University at Albany,NY,Albany,69.1,,12564,10866,31256,67979,62.7,19500,0,No
Kennesaw State University,GA,Kennesaw,69.2,1113,41254,5808,17736,57552,50.0,23833,0,Yes
Northern Illinois University,IL,Dekalb,69.8,,11301,13248,13248,57808,49.2,22162,0,No
University of Delaware,DE,Newark,70.6,1292,19071,16810,41400,72950,79.7,24572,1,No
SUNY Brockport,NY,Brockport,70.7,1193,5784,8752,15822,54496,55.9,20000,0,No
University of South Alabama,AL,Mobile,71.0,1147,8879,10116,19092,49379,52.6,24929,0,No
Rutgers University-Newark,NJ,Newark,71.4,,7709,17250,36762,74479,65.7,21500,0,No
Slippery Rock University of Pennsylvania,PA,Slippery Rock,71.5,1095,6788,10568,14676,53032,65.7,25000,0,No
James Madison University,VA,Harrisonburg,71.5,1256,20888,14250,31604,69954,80.3,20093,0,No
University of Memphis,TN,Memphis,72.0,1088,12701,10728,15384,48458,50.1,23300,0,No
Saginaw Valley State University,MI,University Center,72.1,1052,5989,12930,30450,51955,50.7,25000,0,No
Quinnipiac University,CT,Hamden,72.2,1242,6531,55480,55480,83759,76.5,26000,0,No
University of Rhode Island,RI,Kingston,72.2,1160,13381,16942,37146,69743,72.2,22250,0,No
University of Missouri-Kansas City,MO,Kansas City,72.2,1204,6817,12587,30227,59637,55.7,18750,0,Yes
University of North Texas,TX,Denton,72.2,1109,34341,11309,21149,57010,60.1,19250,0,No
Valdosta State University,GA,Valdosta,72.3,1013,6622,6124,17836,49361,42.0,24779,0,No
Purdue University Northwest,IN,Hammond,72.4,1024,5671,8675,16094,48318,43.5,21229,0,No
Bowie State University,MD,Bowie,72.4,,5043,9218,19938,54537,38.2,22985,0,No
University of Maryland-Baltimore County,MD,Baltimore,72.4,1323,10701,13256,31275,69960,70.3,19500,0,No
Missouri University of Science and Technology,MO,Rolla,72.5,1317,5521,14984,33248,82957,64.0,23250,0,No
Texas Tech University,TX,Lubbock,72.7,1190,32394,11852,24451,62454,68.1,21500,0,Yes
SUNY Buffalo State University,NY,Buffalo,73.0,1070,5097,8533,19653,52334,34.7,21028,0,No
Nova Southeastern University,FL,Fort Lauderdale,73.2,1157,7240,38700,38700,59209,63.8,24250,0,No
Seton Hall University,NJ,South Orange,73.3,1322,6036,53170,53170,70196,70.5,22750,0,No
Louisiana State University and Agricultural & Mechanical College,LA,Baton Rouge,73.3,1285,30594,11954,28631,61251,69.8,20500,0,No
Central Connecticut State University,CT,New Britain,73.3,1080,7822,13050,16550,58562,48.9,22300,0,No
Southeast Missouri State University,MO,Cape Girardeau,73.5,950,6373,9903,9903,44030,56.7,21500,0,No
University of Nevada-Reno,NV,Reno,73.7,1132,15599,9578,27720,60614,61.8,18922,0,No
University of Houston,TX,Houston,73.9,1250,38380,9717,22547,62377,64.7,18194,0,Yes
University at Buffalo,NY,Buffalo,74.2,1295,20112,10936,31536,70814,74.3,19000,0,No
University of Arkansas,AR,Fayetteville,74.3,1169,28677,10104,29966,58191,70.2,21500,0,Yes
ECPI University,VA,Virginia Beach,74.5,,12090,18484,18484,42837,43.5,20000,0,No
University of Colorado Denver/Anschutz Medical Campus,CO,Denver,74.7,1116,10519,10383,29391,64270,46.7,20500,0,No
Oklahoma State University-Main Campus,OK,Stillwater,75.0,1150,21773,10234,25754,57413,67.0,20500,0,No
Saint Louis University,MO,Saint Louis,75.0,1317,7267,55760,55760,70783,79.7,25000,1,Yes
California State Polytechnic University-Pomona,CA,Pomona,75.2,,25042,7780,20380,71902,67.6,16000,0,No
Coastal Carolina University,SC,Conway,75.3,1143,10377,11640,29628,47258,49.7,23750,0,No
High Point University,NC,High Point,75.3,1288,5129,45312,45312,61389,72.1,24575,0,Yes
Miami University-Oxford,OH,Oxford,75.4,1317,16656,18161,41221,55076,80.8,23000,0,Yes
Winona State University,MN,Winona,75.5,,5144,10576,17308,58532,59.0,21500,0,No
University of Wisconsin-La Crosse,WI,La Crosse,75.5,1220,9277,10070,19517,60378,71.1,22500,0,Yes
University of Idaho,ID,Moscow,75.5,1116,7747,9084,28320,54670,59.2,21982,0,Yes
